state_fips,state,year,construction_real_gdp,construction_real_gdp_unit,unit_multiplier,construction_real_gdp_growth_pct
41,Oregon,2018,10897.5,millions_of_chained_2017_dollars,6,8.139084873924563
41,Oregon,2019,11230.1,millions_of_chained_2017_dollars,6,3.0520761642578664
41,Oregon,2020,11422.5,millions_of_chained_2017_dollars,6,1.7132527760215899
41,Oregon,2021,11668.8,millions_of_chained_2017_dollars,6,2.156270518713055
41,Oregon,2022,11252.5,millions_of_chained_2017_dollars,6,-3.567633347045107
41,Oregon,2023,10977.3,millions_of_chained_2017_dollars,6,-2.4456787380582212
42,Pennsylvania,2015,29052.4,millions_of_chained_2017_dollars,6,
42,Pennsylvania,2016,29198.3,millions_of_chained_2017_dollars,6,0.5021960319973484
42,Pennsylvania,2017,30059.4,millions_of_chained_2017_dollars,6,2.9491442994968864
42,Pennsylvania,2018,30425.6,millions_of_chained_2017_dollars,6,1.2182545227116925
42,Pennsylvania,2019,30646.4,millions_of_chained_2017_dollars,6,0.7257046697517922
42,Pennsylvania,2020,28088.1,millions_of_chained_2017_dollars,6,-8.347799415265754
42,Pennsylvania,2021,29135,millions_of_chained_2017_dollars,6,3.727201199084318
42,Pennsylvania,2022,26987.4,millions_of_chained_2017_dollars,6,-7.371203020422168
