state_fips,state,year,target_observed,target_withheld,fhwa_year_matches,bls_months,msha_no_qualifying_activity,eligible_explanation,eligible_prediction
33,New Hampshire,2019,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
33,New Hampshire,2020,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
33,New Hampshire,2021,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
33,New Hampshire,2022,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
33,New Hampshire,2023,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
34,New Jersey,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
34,New Jersey,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
34,New Jersey,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
34,New Jersey,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
34,New Jersey,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
34,New Jersey,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
34,New Jersey,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
34,New Jersey,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
34,New Jersey,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
35,New Mexico,2015,TRUE,FALSE,TRUE,,FALSE,TRUE,FALSE
35,New Mexico,2016,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
35,New Mexico,2017,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
35,New Mexico,2018,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
35,New Mexico,2019,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
35,New Mexico,2020,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
35,New Mexico,2021,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
35,New Mexico,2022,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
35,New Mexico,2023,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
36,New York,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
36,New York,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
36,New York,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
36,New York,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
36,New York,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
36,New York,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
36,New York,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
36,New York,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
36,New York,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
37,North Carolina,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
37,North Carolina,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
37,North Carolina,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
37,North Carolina,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
37,North Carolina,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
37,North Carolina,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
37,North Carolina,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
37,North Carolina,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
37,North Carolina,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
38,North Dakota,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
38,North Dakota,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
38,North Dakota,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
38,North Dakota,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
38,North Dakota,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
38,North Dakota,2020,TRUE,FALSE,TRUE,12,TRUE,TRUE,TRUE
38,North Dakota,2021,TRUE,FALSE,TRUE,12,TRUE,TRUE,TRUE
38,North Dakota,2022,TRUE,FALSE,TRUE,12,TRUE,TRUE,TRUE
38,North Dakota,2023,TRUE,FALSE,TRUE,12,TRUE,TRUE,TRUE
39,Ohio,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
39,Ohio,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
39,Ohio,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
39,Ohio,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
39,Ohio,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
39,Ohio,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
39,Ohio,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
39,Ohio,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
39,Ohio,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
40,Oklahoma,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
40,Oklahoma,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
40,Oklahoma,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
40,Oklahoma,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
40,Oklahoma,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
40,Oklahoma,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
40,Oklahoma,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
40,Oklahoma,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
40,Oklahoma,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
