fhwa_state_token,year,highway_capital_outlays_nominal_thousand_usd,highway_construction_preservation_nominal_thousand_usd,state_fips,fhwa_reported_year,fhwa_footnote,fhwa_year_matches,fhwa_provenance
Missouri,2020,1026758,801142,29,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Missouri,2021,1095674,798670,29,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Missouri,2022,1096090,712584,29,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Missouri,2023,1422605,1121636,29,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Montana,2015,453865,368877,30,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Montana,2016,445024,358298,30,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Montana,2017,401266,315532,30,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Montana,2018,446364,358823,30,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Montana,2019,528455,438092,30,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Montana,2020,585442,479516,30,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Montana,2021,517090,414590,30,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Montana,2022,455575,384198,30,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Montana,2023,585145,504092,30,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
