time,state_fips,region_code,division_code,state_name,bldgs_1unit,units_1unit,value_1unit,bldgs_2unit,units_2unit,value_2unit,bldgs_34unit,units_34unit,value_34unit,bldgs_5punit,units_5punit,value_5punit,bldgs_1unit_rep,units_1unit_rep,value_1unit_rep,bldgs_2unit_rep,units_2unit_rep,value_2unit_rep,bldgs_34unit_rep,units_34unit_rep,value_34unit_rep,bldgs_5punit_rep,units_5punit_rep,value_5punit_rep,year
201899,28,3,6,Mississippi,6136,6136,1135177,26,52,6228,29,110,10313,58,585,41787,4811,4811,952971,19,38,4780,18,72,6958,20,191,13866,2018
201999,28,3,6,Mississippi,6164,6164,1161662,36,72,9781,29,103,11423,52,613,58020,5096,5096,1002140,27,54,7499,13,51,7641,17,368,43731,2019
202099,28,3,6,Mississippi,7190,7190,1383396,31,62,6349,26,86,6057,42,472,32729,5308,5308,1084303,28,56,5793,4,15,1245,13,275,22951,2020
202199,28,3,6,Mississippi,7384,7384,1501706,22,44,5384,28,100,9377,56,460,25056,5787,5787,1242814,16,32,4091,15,55,4861,23,212,12777,2021
202299,28,3,6,Mississippi,7001,7001,1382349,24,48,4399,15,54,5684,60,465,26163,5858,5858,1193037,22,44,3909,14,51,5553,39,337,22963,2022
202399,28,3,6,Mississippi,7145,7145,1421445,50,100,14464,5,18,3311,53,437,40215,6030,6030,1259473,46,92,13594,4,15,3180,24,256,34896,2023
201599,29,2,4,Missouri,10339,10339,2340209,255,510,47231,137,507,46220,275,6988,712750,9657,9657,2232954,199,398,37673,122,461,42398,232,5999,669879,2015
201699,29,2,4,Missouri,11292,11292,2510008,247,494,44101,173,662,62893,209,6549,665701,10493,10493,2367264,211,422,38539,161,621,59519,186,6341,651426,2016
201799,29,2,4,Missouri,12109,12109,2777580,244,488,49148,154,594,61276,247,5620,564031,11002,11002,2464501,227,454,46879,150,581,60188,225,5334,531289,2017
201899,29,2,4,Missouri,11376,11376,2663420,270,540,60142,108,388,41715,151,4571,401790,10361,10361,2457433,249,498,56214,99,360,38832,134,4452,389275,2018
201999,29,2,4,Missouri,10955,10955,2766152,277,554,60081,116,447,53383,179,5504,508952,10275,10275,2644263,274,548,59499,113,435,52674,173,4594,478413,2019
202099,29,2,4,Missouri,13107,13107,3312697,287,574,63084,126,490,58509,208,5668,587606,12265,12265,3154766,281,562,61818,118,461,54894,192,5359,559904,2020
202199,29,2,4,Missouri,13941,13941,3920894,239,478,71838,157,595,79633,238,6358,675225,13228,13228,3773469,234,468,71193,152,576,78435,236,6344,674636,2021
202299,29,2,4,Missouri,11598,11598,3547300,296,592,84954,157,586,86928,263,8125,1117079,10791,10791,3370366,290,580,83546,147,555,85783,250,8059,1111028,2022
